,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
15,"{'f': 0.2857142808163266, 'p': 0.25, 'r': 0.3333333333333333}","{'f': 0.21052631091412755, 'p': 0.18181818181818182, 'r': 0.25}","{'f': 0.2857142808163266, 'p': 0.25, 'r': 0.3333333333333333}",id_cnn_8356,0.2857142808163266,0.25,0.3333333333333333,0.21052631091412755,0.18181818181818182,0.25,0.2857142808163266,0.25,0.3333333333333333,-,-,-
16,"{'f': 0.3333333284222223, 'p': 0.29411764705882354, 'r': 0.38461538461538464}","{'f': 0.14285713795918387, 'p': 0.125, 'r': 0.16666666666666666}","{'f': 0.2962962914677641, 'p': 0.25, 'r': 0.36363636363636365}",id_cnn_90507,0.3333333284222223,0.29411764705882354,0.38461538461538464,0.14285713795918387,0.125,0.16666666666666666,0.2962962914677641,0.25,0.36363636363636365,-,-,-
17,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_83985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
18,"{'f': 0.35714285255102046, 'p': 0.2777777777777778, 'r': 0.5}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.30769230316568047, 'p': 0.23529411764705882, 'r': 0.4444444444444444}",id_dm_61957,0.35714285255102046,0.2777777777777778,0.5,0.0,0.0,0.0,0.30769230316568047,0.23529411764705882,0.4444444444444444,-,-,-
19,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_3357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
20,"{'f': 0.24999999531250006, 'p': 0.2, 'r': 0.3333333333333333}","{'f': 0.13333332868888906, 'p': 0.10526315789473684, 'r': 0.18181818181818182}","{'f': 0.2068965470154579, 'p': 0.16666666666666666, 'r': 0.2727272727272727}",id_dm_210474,0.24999999531250006,0.2,0.3333333333333333,0.13333332868888906,0.10526315789473684,0.18181818181818182,0.2068965470154579,0.16666666666666666,0.2727272727272727,-,-,-
21,"{'f': 0.4999999950000001, 'p': 0.5, 'r': 0.5}","{'f': 0.41176470088235295, 'p': 0.4117647058823529, 'r': 0.4117647058823529}","{'f': 0.514285709289796, 'p': 0.5294117647058824, 'r': 0.5}",id_dm_43558,0.4999999950000001,0.5,0.5,0.41176470088235295,0.4117647058823529,0.4117647058823529,0.514285709289796,0.5294117647058824,0.5,-,-,-
22,"{'f': 0.07142856665816359, 'p': 0.058823529411764705, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07692307204142042, 'p': 0.06666666666666667, 'r': 0.09090909090909091}",id_cnn_77111,0.07142856665816359,0.058823529411764705,0.09090909090909091,0.0,0.0,0.0,0.07692307204142042,0.06666666666666667,0.09090909090909091,-,-,-
23,"{'f': 0.4545454495867769, 'p': 0.4166666666666667, 'r': 0.5}","{'f': 0.2999999950500001, 'p': 0.2727272727272727, 'r': 0.3333333333333333}","{'f': 0.47619047120181407, 'p': 0.45454545454545453, 'r': 0.5}",id_dm_162019,0.4545454495867769,0.4166666666666667,0.5,0.2999999950500001,0.2727272727272727,0.3333333333333333,0.47619047120181407,0.45454545454545453,0.5,-,-,-
24,"{'f': 0.7499999953125, 'p': 0.6, 'r': 1.0}","{'f': 0.5999999953555556, 'p': 0.47368421052631576, 'r': 0.8181818181818182}","{'f': 0.7096774146097816, 'p': 0.5789473684210527, 'r': 0.9166666666666666}",id_dm_158164,0.7499999953125,0.6,1.0,0.5999999953555556,0.47368421052631576,0.8181818181818182,0.7096774146097816,0.5789473684210527,0.9166666666666666,-,-,-
25,"{'f': 0.1212121172451792, 'p': 0.08333333333333333, 'r': 0.2222222222222222}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13793103020214045, 'p': 0.1, 'r': 0.2222222222222222}",id_dm_61340,0.1212121172451792,0.08333333333333333,0.2222222222222222,0.0,0.0,0.0,0.13793103020214045,0.1,0.2222222222222222,-,-,-
26,"{'f': 0.06451612428720119, 'p': 0.05263157894736842, 'r': 0.08333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06666666202222254, 'p': 0.05263157894736842, 'r': 0.09090909090909091}",id_cnn_84529,0.06451612428720119,0.05263157894736842,0.08333333333333333,0.0,0.0,0.0,0.06666666202222254,0.05263157894736842,0.09090909090909091,-,-,-
27,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_111060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
28,"{'f': 0.319999995392, 'p': 0.25, 'r': 0.4444444444444444}","{'f': 0.08695651720226867, 'p': 0.06666666666666667, 'r': 0.125}","{'f': 0.2399999953920001, 'p': 0.1875, 'r': 0.3333333333333333}",id_dm_172693,0.319999995392,0.25,0.4444444444444444,0.08695651720226867,0.06666666666666667,0.125,0.2399999953920001,0.1875,0.3333333333333333,-,-,-
29,"{'f': 0.4444444395061729, 'p': 0.4, 'r': 0.5}","{'f': 0.23999999507200007, 'p': 0.21428571428571427, 'r': 0.2727272727272727}","{'f': 0.39999999500800004, 'p': 0.38461538461538464, 'r': 0.4166666666666667}",id_dm_173398,0.4444444395061729,0.4,0.5,0.23999999507200007,0.21428571428571427,0.2727272727272727,0.39999999500800004,0.38461538461538464,0.4166666666666667,-,-,-
30,"{'f': 0.26315788986149585, 'p': 0.3125, 'r': 0.22727272727272727}","{'f': 0.1666666618055557, 'p': 0.2, 'r': 0.14285714285714285}","{'f': 0.2777777728395062, 'p': 0.3125, 'r': 0.25}",id_dm_18066,0.26315788986149585,0.3125,0.22727272727272727,0.1666666618055557,0.2,0.14285714285714285,0.2777777728395062,0.3125,0.25,-,-,-
31,"{'f': 0.25806451175858486, 'p': 0.19047619047619047, 'r': 0.4}","{'f': 0.06896551296076128, 'p': 0.05, 'r': 0.1111111111111111}","{'f': 0.19354838272632682, 'p': 0.14285714285714285, 'r': 0.3}",id_dm_186132,0.25806451175858486,0.19047619047619047,0.4,0.06896551296076128,0.05,0.1111111111111111,0.19354838272632682,0.14285714285714285,0.3,-,-,-
32,"{'f': 0.2666666620222223, 'p': 0.21052631578947367, 'r': 0.36363636363636365}","{'f': 0.071428566836735, 'p': 0.05555555555555555, 'r': 0.1}","{'f': 0.22222221755829916, 'p': 0.17647058823529413, 'r': 0.3}",id_cnn_87065,0.2666666620222223,0.21052631578947367,0.36363636363636365,0.071428566836735,0.05555555555555555,0.1,0.22222221755829916,0.17647058823529413,0.3,-,-,-
33,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_4152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
34,"{'f': 0.6666666618666668, 'p': 0.5555555555555556, 'r': 0.8333333333333334}","{'f': 0.28571428094387763, 'p': 0.23529411764705882, 'r': 0.36363636363636365}","{'f': 0.7407407358024692, 'p': 0.6666666666666666, 'r': 0.8333333333333334}",id_cnn_23748,0.6666666618666668,0.5555555555555556,0.8333333333333334,0.28571428094387763,0.23529411764705882,0.36363636363636365,0.7407407358024692,0.6666666666666666,0.8333333333333334,-,-,-
35,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_122661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
36,"{'f': 0.2666666620222223, 'p': 0.21052631578947367, 'r': 0.36363636363636365}","{'f': 0.21428570969387764, 'p': 0.16666666666666666, 'r': 0.3}","{'f': 0.2758620642568371, 'p': 0.2222222222222222, 'r': 0.36363636363636365}",id_dm_129999,0.2666666620222223,0.21052631578947367,0.36363636363636365,0.21428570969387764,0.16666666666666666,0.3,0.2758620642568371,0.2222222222222222,0.36363636363636365,-,-,-
37,"{'f': 0.3846153797337278, 'p': 0.3333333333333333, 'r': 0.45454545454545453}","{'f': 0.1666666618055557, 'p': 0.14285714285714285, 'r': 0.2}","{'f': 0.3809523759637189, 'p': 0.4, 'r': 0.36363636363636365}",id_cnn_18289,0.3846153797337278,0.3333333333333333,0.45454545454545453,0.1666666618055557,0.14285714285714285,0.2,0.3809523759637189,0.4,0.36363636363636365,-,-,-
38,"{'f': 0.7199999950079999, 'p': 0.6923076923076923, 'r': 0.75}","{'f': 0.5217391254442345, 'p': 0.5, 'r': 0.5454545454545454}","{'f': 0.559999995008, 'p': 0.5384615384615384, 'r': 0.5833333333333334}",id_dm_46997,0.7199999950079999,0.6923076923076923,0.75,0.5217391254442345,0.5,0.5454545454545454,0.559999995008,0.5384615384615384,0.5833333333333334,-,-,-
39,"{'f': 0.16666666170138905, 'p': 0.15384615384615385, 'r': 0.18181818181818182}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.16666666170138905, 'p': 0.15384615384615385, 'r': 0.18181818181818182}",id_dm_61311,0.16666666170138905,0.15384615384615385,0.18181818181818182,0.0,0.0,0.0,0.16666666170138905,0.15384615384615385,0.18181818181818182,-,-,-
40,"{'f': 0.13333332888888905, 'p': 0.1, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13793102996432832, 'p': 0.10526315789473684, 'r': 0.2}",id_dm_80694,0.13333332888888905,0.1,0.2,0.0,0.0,0.0,0.13793102996432832,0.10526315789473684,0.2,-,-,-
41,"{'f': 0.12121211632690562, 'p': 0.10526315789473684, 'r': 0.14285714285714285}","{'f': 0.06451612416233128, 'p': 0.05555555555555555, 'r': 0.07692307692307693}","{'f': 0.13333332835555575, 'p': 0.125, 'r': 0.14285714285714285}",id_cnn_68032,0.12121211632690562,0.10526315789473684,0.14285714285714285,0.06451612416233128,0.05555555555555555,0.07692307692307693,0.13333332835555575,0.125,0.14285714285714285,-,-,-
42,"{'f': 0.7407407359122085, 'p': 0.625, 'r': 0.9090909090909091}","{'f': 0.6399999952000001, 'p': 0.5333333333333333, 'r': 0.8}","{'f': 0.7407407359122085, 'p': 0.625, 'r': 0.9090909090909091}",id_dm_7882,0.7407407359122085,0.625,0.9090909090909091,0.6399999952000001,0.5333333333333333,0.8,0.7407407359122085,0.625,0.9090909090909091,-,-,-
43,"{'f': 0.2666666617555556, 'p': 0.23529411764705882, 'r': 0.3076923076923077}","{'f': 0.0714285665306126, 'p': 0.0625, 'r': 0.08333333333333333}","{'f': 0.2758620641141499, 'p': 0.23529411764705882, 'r': 0.3333333333333333}",id_dm_150903,0.2666666617555556,0.23529411764705882,0.3076923076923077,0.0714285665306126,0.0625,0.08333333333333333,0.2758620641141499,0.23529411764705882,0.3333333333333333,-,-,-
44,"{'f': 0.388888883904321, 'p': 0.4117647058823529, 'r': 0.3684210526315789}","{'f': 0.17647058325259532, 'p': 0.1875, 'r': 0.16666666666666666}","{'f': 0.4117647009515571, 'p': 0.4666666666666667, 'r': 0.3684210526315789}",id_dm_4500,0.388888883904321,0.4117647058823529,0.3684210526315789,0.17647058325259532,0.1875,0.16666666666666666,0.4117647009515571,0.4666666666666667,0.3684210526315789,-,-,-
45,"{'f': 0.071428566836735, 'p': 0.05555555555555555, 'r': 0.1}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0740740694101512, 'p': 0.058823529411764705, 'r': 0.1}",id_dm_164277,0.071428566836735,0.05555555555555555,0.1,0.0,0.0,0.0,0.0740740694101512,0.058823529411764705,0.1,-,-,-
46,"{'f': 0.2142857093877552, 'p': 0.1875, 'r': 0.25}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0714285665306126, 'p': 0.0625, 'r': 0.08333333333333333}",id_dm_75343,0.2142857093877552,0.1875,0.25,0.0,0.0,0.0,0.0714285665306126,0.0625,0.08333333333333333,-,-,-
47,"{'f': 0.19354838272632682, 'p': 0.14285714285714285, 'r': 0.3}","{'f': 0.13793103020214045, 'p': 0.1, 'r': 0.2222222222222222}","{'f': 0.21428570969387764, 'p': 0.16666666666666666, 'r': 0.3}",id_dm_158090,0.19354838272632682,0.14285714285714285,0.3,0.13793103020214045,0.1,0.2222222222222222,0.21428570969387764,0.16666666666666666,0.3,-,-,-
