,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
3612,"{'f': 0.20689654772889424, 'p': 0.14285714285714285, 'r': 0.375}","{'f': 0.14814814430727036, 'p': 0.1, 'r': 0.2857142857142857}","{'f': 0.23076922650887582, 'p': 0.16666666666666666, 'r': 0.375}",id_dm_51233,0.20689654772889424,0.14285714285714285,0.375,0.14814814430727036,0.1,0.2857142857142857,0.23076922650887582,0.16666666666666666,0.375,-,-,-
3613,"{'f': 0.21052631091412755, 'p': 0.18181818181818182, 'r': 0.25}","{'f': 0.1111111062500002, 'p': 0.09523809523809523, 'r': 0.13333333333333333}","{'f': 0.16216215725346983, 'p': 0.14285714285714285, 'r': 0.1875}",id_dm_100097,0.21052631091412755,0.18181818181818182,0.25,0.1111111062500002,0.09523809523809523,0.13333333333333333,0.16216215725346983,0.14285714285714285,0.1875,-,-,-
3614,"{'f': 0.5833333283333335, 'p': 0.5833333333333334, 'r': 0.5833333333333334}","{'f': 0.3636363586363637, 'p': 0.36363636363636365, 'r': 0.36363636363636365}","{'f': 0.5833333283333335, 'p': 0.5833333333333334, 'r': 0.5833333333333334}",id_cnn_91105,0.5833333283333335,0.5833333333333334,0.5833333333333334,0.3636363586363637,0.36363636363636365,0.36363636363636365,0.5833333283333335,0.5833333333333334,0.5833333333333334,-,-,-
3615,"{'f': 0.3448275814982165, 'p': 0.2777777777777778, 'r': 0.45454545454545453}","{'f': 0.14814814348422511, 'p': 0.11764705882352941, 'r': 0.2}","{'f': 0.35714285255102046, 'p': 0.2777777777777778, 'r': 0.5}",id_dm_86831,0.3448275814982165,0.2777777777777778,0.45454545454545453,0.14814814348422511,0.11764705882352941,0.2,0.35714285255102046,0.2777777777777778,0.5,-,-,-
3616,"{'f': 0.09999999531250023, 'p': 0.08, 'r': 0.13333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.10526315311634371, 'p': 0.08695652173913043, 'r': 0.13333333333333333}",id_dm_97644,0.09999999531250023,0.08,0.13333333333333333,0.0,0.0,0.0,0.10526315311634371,0.08695652173913043,0.13333333333333333,-,-,-
3617,"{'f': 0.2499999951757813, 'p': 0.21052631578947367, 'r': 0.3076923076923077}","{'f': 0.066666661866667, 'p': 0.05555555555555555, 'r': 0.08333333333333333}","{'f': 0.2580645112591052, 'p': 0.2222222222222222, 'r': 0.3076923076923077}",id_dm_182443,0.2499999951757813,0.21052631578947367,0.3076923076923077,0.066666661866667,0.05555555555555555,0.08333333333333333,0.2580645112591052,0.2222222222222222,0.3076923076923077,-,-,-
3618,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_62032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
3619,"{'f': 0.11428570948571448, 'p': 0.09523809523809523, 'r': 0.14285714285714285}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.11428570948571448, 'p': 0.09523809523809523, 'r': 0.14285714285714285}",id_dm_171736,0.11428570948571448,0.09523809523809523,0.14285714285714285,0.0,0.0,0.0,0.11428570948571448,0.09523809523809523,0.14285714285714285,-,-,-
3620,"{'f': 0.5517241332223544, 'p': 0.4444444444444444, 'r': 0.7272727272727273}","{'f': 0.22222221755829916, 'p': 0.17647058823529413, 'r': 0.3}","{'f': 0.44444443961591223, 'p': 0.375, 'r': 0.5454545454545454}",id_dm_123295,0.5517241332223544,0.4444444444444444,0.7272727272727273,0.22222221755829916,0.17647058823529413,0.3,0.44444443961591223,0.375,0.5454545454545454,-,-,-
3621,"{'f': 0.2499999954882813, 'p': 0.19047619047619047, 'r': 0.36363636363636365}","{'f': 0.06666666222222252, 'p': 0.05, 'r': 0.1}","{'f': 0.19354838251821027, 'p': 0.15, 'r': 0.2727272727272727}",id_dm_78773,0.2499999954882813,0.19047619047619047,0.36363636363636365,0.06666666222222252,0.05,0.1,0.19354838251821027,0.15,0.2727272727272727,-,-,-
3622,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_83712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
3623,"{'f': 0.2777777733333334, 'p': 0.20833333333333334, 'r': 0.4166666666666667}","{'f': 0.11764705444636694, 'p': 0.08695652173913043, 'r': 0.18181818181818182}","{'f': 0.29411764249134953, 'p': 0.22727272727272727, 'r': 0.4166666666666667}",id_cnn_86404,0.2777777733333334,0.20833333333333334,0.4166666666666667,0.11764705444636694,0.08695652173913043,0.18181818181818182,0.29411764249134953,0.22727272727272727,0.4166666666666667,-,-,-
