,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
6396,"{'f': 0.13793102996432832, 'p': 0.2, 'r': 0.10526315789473684}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0714285670663268, 'p': 0.1111111111111111, 'r': 0.05263157894736842}",id_dm_82928,0.13793102996432832,0.2,0.10526315789473684,0.0,0.0,0.0,0.0714285670663268,0.1111111111111111,0.05263157894736842,-,-,-
6397,"{'f': 0.049999995800000356, 'p': 0.08333333333333333, 'r': 0.03571428571428571}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.05714285306122478, 'p': 0.1, 'r': 0.04}",id_dm_2224,0.049999995800000356,0.08333333333333333,0.03571428571428571,0.0,0.0,0.0,0.05714285306122478,0.1,0.04,-,-,-
6398,"{'f': 0.07999999564800023, 'p': 0.125, 'r': 0.058823529411764705}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07999999564800023, 'p': 0.125, 'r': 0.058823529411764705}",id_dm_126289,0.07999999564800023,0.125,0.058823529411764705,0.0,0.0,0.0,0.07999999564800023,0.125,0.058823529411764705,-,-,-
6399,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_19765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6400,"{'f': 0.0555555505709881, 'p': 0.05263157894736842, 'r': 0.058823529411764705}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06249999501953165, 'p': 0.06666666666666667, 'r': 0.058823529411764705}",id_cnn_28057,0.0555555505709881,0.05263157894736842,0.058823529411764705,0.0,0.0,0.0,0.06249999501953165,0.06666666666666667,0.058823529411764705,-,-,-
6401,"{'f': 0.09999999505000023, 'p': 0.1111111111111111, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1052631530193908, 'p': 0.125, 'r': 0.09090909090909091}",id_dm_50240,0.09999999505000023,0.1111111111111111,0.09090909090909091,0.0,0.0,0.0,0.1052631530193908,0.125,0.09090909090909091,-,-,-
6402,"{'f': 0.2580645112591052, 'p': 0.3076923076923077, 'r': 0.2222222222222222}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.14285713826530627, 'p': 0.2, 'r': 0.1111111111111111}",id_dm_67272,0.2580645112591052,0.3076923076923077,0.2222222222222222,0.0,0.0,0.0,0.14285713826530627,0.2,0.1111111111111111,-,-,-
6403,"{'f': 0.16666666166666683, 'p': 0.16666666666666666, 'r': 0.16666666666666666}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.18181817685950424, 'p': 0.2, 'r': 0.16666666666666666}",id_cnn_19476,0.16666666166666683,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.18181817685950424,0.2,0.16666666666666666,-,-,-
6404,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_14607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
6405,"{'f': 0.12121211658402223, 'p': 0.16666666666666666, 'r': 0.09523809523809523}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1290322534859523, 'p': 0.18181818181818182, 'r': 0.1}",id_dm_36931,0.12121211658402223,0.16666666666666666,0.09523809523809523,0.0,0.0,0.0,0.1290322534859523,0.18181818181818182,0.1,-,-,-
6406,"{'f': 0.18749999501953143, 'p': 0.2, 'r': 0.17647058823529413}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.19999999502222232, 'p': 0.21428571428571427, 'r': 0.1875}",id_dm_135984,0.18749999501953143,0.2,0.17647058823529413,0.0,0.0,0.0,0.19999999502222232,0.21428571428571427,0.1875,-,-,-
6407,"{'f': 0.16666666170138905, 'p': 0.18181818181818182, 'r': 0.15384615384615385}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.08695651682419688, 'p': 0.1, 'r': 0.07692307692307693}",id_dm_199987,0.16666666170138905,0.18181818181818182,0.15384615384615385,0.0,0.0,0.0,0.08695651682419688,0.1,0.07692307692307693,-,-,-
6408,"{'f': 0.09523809034013632, 'p': 0.1111111111111111, 'r': 0.08333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.09523809034013632, 'p': 0.1111111111111111, 'r': 0.08333333333333333}",id_dm_149538,0.09523809034013632,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.09523809034013632,0.1111111111111111,0.08333333333333333,-,-,-
6409,"{'f': 0.08333332888888913, 'p': 0.125, 'r': 0.0625}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0869565175047261, 'p': 0.14285714285714285, 'r': 0.0625}",id_dm_30745,0.08333332888888913,0.125,0.0625,0.0,0.0,0.0,0.0869565175047261,0.14285714285714285,0.0625,-,-,-
6410,"{'f': 0.24999999531250006, 'p': 0.3333333333333333, 'r': 0.2}","{'f': 0.09090908628099197, 'p': 0.125, 'r': 0.07142857142857142}","{'f': 0.1739130387145559, 'p': 0.2222222222222222, 'r': 0.14285714285714285}",id_cnn_2913,0.24999999531250006,0.3333333333333333,0.2,0.09090908628099197,0.125,0.07142857142857142,0.1739130387145559,0.2222222222222222,0.14285714285714285,-,-,-
